case_id,amount_due,days_overdue,past_defaults,region,recovered
1,11710,51,0,North,0
2,14486,46,3,East,1
3,16048,127,5,West,0
4,6833,1,2,North,1
5,7080,13,0,East,1
6,18078,176,5,East,0
7,4071,54,2,West,1
8,10102,41,3,East,1
9,19954,136,4,North,0
10,14535,112,4,South,0
11,19945,162,2,West,0
12,2408,124,5,North,1
13,12401,88,4,South,0
14,5390,153,5,West,0
15,3352,168,4,South,0
16,4524,131,4,West,0
17,13530,128,2,South,0
18,19094,55,3,East,0
19,15232,130,0,North,0
20,8681,163,0,South,0
21,6717,143,5,East,0
22,4517,164,5,South,0
23,15588,89,0,South,0
24,10280,100,3,East,0
25,5260,30,5,North,0
26,16613,13,1,East,1
27,17421,122,2,West,0
28,13235,35,1,South,1
29,2566,34,2,East,1
30,16458,143,0,North,1
31,13511,129,5,West,0
32,2666,177,2,East,0
33,18427,125,5,East,0
34,4271,53,2,East,1
35,3744,30,0,North,1
36,13693,117,4,South,0
37,15814,97,5,North,0
38,5748,172,4,South,0
39,15946,4,4,North,1
40,7775,71,3,South,0
41,9972,117,5,West,1
42,3175,156,2,West,0
43,3556,97,0,West,1
44,19756,123,0,West,0
45,6063,30,0,West,1
46,19079,72,2,West,0
47,6542,54,5,South,0
48,14230,23,4,East,0
49,14836,37,5,South,1
50,7309,72,4,East,0
51,4707,74,3,East,0
52,7538,21,0,North,1
53,3000,72,5,East,1
54,7394,36,5,East,0
55,17610,62,3,West,0
56,7068,41,1,North,0
57,6424,24,3,East,1
58,7975,122,0,South,0
59,12902,61,1,East,1
60,6683,134,5,South,0
61,19627,42,2,West,1
62,15083,100,3,South,1
63,4553,7,4,South,0
64,4929,65,3,West,0
65,11066,1,5,East,1
66,18136,16,0,South,1
67,14528,58,3,East,0
68,5506,132,1,North,0
69,11411,111,5,North,0
70,8181,113,1,North,0
71,15045,127,5,North,0
72,14927,144,1,West,1
73,18228,130,2,South,1
74,11556,80,3,West,1
75,12267,156,3,South,0
76,11756,147,2,West,0
77,7094,90,4,South,1
78,2067,23,4,North,0
79,9874,62,2,South,0
80,19929,12,2,East,1
81,10486,33,1,East,0
82,13402,12,0,South,1
83,16450,170,2,North,0
84,2870,14,1,South,1
85,16584,146,0,South,0
86,10518,6,2,East,1
87,2270,18,4,East,1
88,14391,178,0,West,0
89,3086,102,2,West,0
90,17751,104,2,South,0
91,15108,54,4,West,1
92,2942,122,0,South,0
93,12834,24,1,South,1
94,5324,77,4,South,0
95,6079,168,5,West,0
96,9021,47,1,North,0
97,9331,62,5,North,1
98,19505,109,1,South,0
99,3370,153,3,West,0
100,4087,35,2,North,1
101,4677,37,3,East,1
102,15084,124,3,South,0
103,4221,72,5,West,1
104,7207,112,1,West,0
105,17873,157,5,West,0
106,19168,137,1,East,1
107,9976,85,5,West,0
108,2667,4,2,North,1
109,3628,152,1,West,0
110,10660,137,5,North,0
111,13736,35,0,South,1
112,5052,178,3,East,0
113,3106,156,5,East,1
114,14133,45,1,North,1
115,14706,103,2,South,0
116,9053,130,1,West,0
117,18681,56,0,East,1
118,14944,84,0,East,0
119,2931,5,5,East,0
120,18965,160,1,West,0
121,19881,111,0,East,0
122,17965,109,0,North,0
123,9456,145,5,West,0
124,15223,33,4,South,1
125,2616,27,3,South,0
126,16532,153,1,North,0
127,15275,175,3,West,1
128,6387,108,2,West,1
129,9005,87,3,North,0
130,19948,67,2,East,1
131,17821,69,4,East,0
132,6486,100,4,North,1
133,4027,106,3,East,0
134,6172,62,2,South,0
135,2342,131,5,South,0
136,18486,177,5,West,0
137,7800,66,0,East,0
138,6993,81,3,South,1
139,16490,49,5,East,0
140,18102,132,1,North,1
141,13632,99,2,West,0
142,6838,122,3,South,0
143,16501,44,2,East,0
144,5346,154,2,South,0
145,16230,126,0,East,1
146,17865,132,0,East,1
147,5551,152,1,North,0
148,11473,126,4,West,1
149,6689,68,0,West,0
150,8790,23,2,North,1
151,12770,23,5,West,1
152,19736,138,4,South,0
153,15293,37,4,South,1
154,19816,157,1,West,0
155,6207,164,5,East,0
156,8908,129,4,South,0
157,16710,11,2,East,1
158,5516,131,2,North,0
159,11324,31,3,South,1
160,5334,71,3,West,1
161,10131,97,3,South,0
162,14333,112,5,North,0
163,4738,36,4,South,1
164,3967,45,2,West,0
165,8637,56,0,South,0
166,15066,43,5,South,0
167,10856,92,2,South,0
168,15093,80,3,South,0
169,10573,165,5,West,0
170,10862,68,1,East,0
171,16667,159,4,East,0
172,17107,150,5,West,0
173,5619,76,1,East,0
174,10973,84,3,South,1
175,13727,172,3,East,1
176,5616,137,2,East,0
177,3607,64,2,South,0
178,2561,128,2,South,0
179,17725,129,0,West,0
180,5723,71,1,East,0
181,18228,45,2,South,0
182,14955,73,3,North,1
183,9599,71,1,East,1
184,12068,129,3,South,0
185,15100,94,0,East,0
186,12416,127,2,South,1
187,15354,165,3,North,0
188,2140,48,1,North,0
189,6699,176,4,North,0
190,14622,80,0,East,0
191,8735,43,3,South,0
192,14635,108,2,West,0
193,17230,94,5,East,1
194,13075,54,3,North,0
195,2299,160,4,West,1
196,13151,60,2,South,1
197,13341,70,5,South,0
198,17177,124,0,West,0
199,18478,169,2,East,0
200,16596,70,4,South,0
201,2965,67,2,South,0
202,8774,129,3,West,1
203,11219,173,2,West,0
204,5361,130,4,West,1
205,2396,20,3,North,0
206,17475,163,2,South,0
207,7523,38,0,South,1
208,8855,180,2,East,1
209,14718,158,5,East,0
210,9019,8,5,North,1
211,2855,75,5,South,1
212,5995,52,1,East,0
213,8299,136,3,East,0
214,14626,103,3,South,0
215,18274,171,2,North,0
216,7267,23,1,South,1
217,8723,97,5,West,0
218,9866,151,4,West,1
219,10099,128,1,South,0
220,18436,63,5,East,0
221,15369,2,4,North,1
222,10618,51,4,East,1
223,4462,131,5,West,0
224,3296,87,5,North,1
225,13858,179,0,West,1
226,12951,165,4,East,0
227,12896,97,0,East,0
228,3842,104,1,North,0
229,17906,117,1,North,1
230,5371,26,4,North,0
231,5962,87,0,East,1
232,6715,179,4,East,0
233,8320,95,3,East,0
234,14803,70,1,East,0
235,2285,99,0,North,0
236,2115,40,5,North,1
237,12980,10,5,North,1
238,13759,65,0,South,0
239,11816,78,2,North,0
240,10072,153,0,West,0
241,14411,64,5,South,1
242,3877,82,2,East,0
243,6945,79,3,West,0
244,12515,172,5,South,0
245,16156,13,2,South,1
246,2676,81,2,North,0
247,15304,159,1,East,1
248,6141,75,0,East,0
249,7735,89,0,East,1
250,2160,33,5,East,0
251,16705,9,4,West,1
252,12490,108,5,North,1
253,4736,73,1,South,0
254,8722,90,0,North,1
255,5890,104,5,South,0
256,16674,44,4,North,1
257,14143,91,0,West,1
258,8740,76,0,North,1
259,13466,77,5,South,0
260,11264,171,0,North,1
261,10899,16,1,North,1
262,10472,166,5,South,0
263,3709,130,3,South,1
264,18033,119,5,East,0
265,14500,32,4,West,0
266,7196,135,1,South,0
267,19159,158,0,South,1
268,13460,147,3,North,0
269,14733,152,2,North,0
270,17128,97,1,East,1
271,9616,45,5,East,0
272,12970,21,1,South,1
273,10070,61,2,North,1
274,14078,62,5,East,0
275,10195,153,2,East,0
276,7495,102,4,South,0
277,13179,34,3,North,1
278,19186,100,2,East,0
279,2511,45,5,West,0
280,4019,21,2,North,1
281,12172,72,2,East,0
282,12235,28,4,South,1
283,11578,166,2,East,0
284,18752,135,0,South,0
285,13146,80,0,East,0
286,2353,47,2,South,0
287,16537,56,3,South,0
288,17077,111,3,North,0
289,19606,104,3,South,0
290,5466,15,2,East,1
291,16564,61,0,East,0
292,3475,107,4,East,1
293,18269,74,0,East,1
294,10610,78,4,East,0
295,6567,176,4,West,0
296,6092,80,2,East,1
297,16159,110,4,West,0
298,6036,30,5,North,0
299,7322,168,2,West,0
300,7117,108,0,West,1
301,17172,70,0,West,0
302,17715,12,5,East,0
303,9757,143,5,West,0
304,15051,29,2,North,0
305,17225,106,1,West,1
306,12786,35,1,East,1
307,15367,141,0,West,0
308,11964,44,4,East,1
309,18753,143,0,West,0
310,16640,36,1,West,0
311,18480,149,1,North,0
312,3173,15,1,North,1
313,2943,89,2,West,0
314,5373,26,4,North,1
315,2532,31,3,North,1
316,3897,81,1,North,0
317,15511,38,1,North,1
318,10448,122,4,South,1
319,3196,71,2,East,0
320,5371,124,0,North,0
321,19697,34,3,North,0
322,3384,107,5,South,0
323,11541,180,5,South,0
324,8027,81,3,North,0
325,9256,129,3,East,1
326,14319,12,4,South,1
327,11041,83,3,East,0
328,15090,41,1,East,1
329,17896,20,3,North,0
330,7281,77,0,West,0
331,19726,174,0,West,0
332,5453,75,0,West,0
333,8502,76,5,North,0
334,5835,131,2,North,0
335,15903,178,2,South,0
336,6876,26,3,East,1
337,5296,62,2,West,0
338,9118,160,3,North,0
339,11857,35,4,South,0
340,5690,11,2,South,1
341,7900,78,2,West,0
342,3703,52,0,South,1
343,10918,155,4,South,0
344,10367,3,0,East,1
345,15981,158,3,East,0
346,2193,51,1,West,0
347,18627,93,1,South,1
348,15712,63,0,East,1
349,9100,163,3,East,0
350,3110,110,2,East,1
351,5659,42,0,North,0
352,6423,45,2,East,0
353,5261,34,2,East,1
354,7563,51,5,South,0
355,3814,43,2,South,0
356,6807,23,3,North,0
357,2510,143,0,West,1
358,8204,134,2,North,1
359,4840,87,3,South,0
360,5967,175,3,East,0
361,6858,67,0,East,1
362,12060,54,3,West,0
363,3027,51,4,West,0
364,17329,9,2,West,0
